ID,condition,question,prevalence,trial
1112,baseline,q7,37,10
1112,baseline,q8,31,8
1112,baseline,q9,84,15
1112,baseline,q10,83,12
1112,baseline,q30,66,9
1112,baseline,q14,49,7
1112,baseline,q16,37,17
1112,baseline,q22,97,16
1112,baseline,q20,49,13
1112,baseline,q24,77,14
1112,baseline,q27,100,11
1112,baseline,q40,76,6
1112,baseline,q39,49,5
1112,baseline,q34,25,2
1112,baseline,q35,100,4
1112,baseline,q32,47,1
1113,generic,q7,0,15
1113,generic,q8,0,10
1113,generic,q9,0,13
1113,generic,q10,0,9
1113,generic,q30,0,4
1113,generic,q14,0,8
1113,generic,q16,0,16
1113,generic,q22,0,3
1113,generic,q20,0,5
1113,generic,q24,0,17
1113,generic,q27,0,1
1113,generic,q40,100,12
1113,generic,q39,0,14
1113,generic,q34,0,7
1113,generic,q35,0,11
1113,generic,q32,0,2
1114,baseline,q7,75,16
1114,baseline,q8,25,1
1114,baseline,q9,60,5
1114,baseline,q10,40,13
1114,baseline,q30,50,12
1114,baseline,q14,50,14
1114,baseline,q16,75,7
1114,baseline,q22,75,6
1114,baseline,q20,25,11
1114,baseline,q24,25,17
1114,baseline,q27,50,8
1114,baseline,q40,85,10
1114,baseline,q39,10,4
1114,baseline,q34,65,15
1114,baseline,q35,65,9
1114,baseline,q32,50,3
1115,specific,q7,10,4
1115,specific,q8,3,15
1115,specific,q9,15,2
1115,specific,q10,30,13
1115,specific,q30,35,3
1115,specific,q14,85,17
1115,specific,q16,70,16
1115,specific,q22,60,8
1115,specific,q20,10,11
1115,specific,q24,45,5
1115,specific,q27,75,6
1115,specific,q40,55,7
1115,specific,q39,5,10
1115,specific,q34,35,12
1115,specific,q35,25,1
1115,specific,q32,80,9
1116,specific,q7,1,15
1116,specific,q8,1,9
1116,specific,q9,1,10
1116,specific,q10,1,5
1116,specific,q30,1,17
1116,specific,q14,1,2
1116,specific,q16,1,6
1116,specific,q22,1,11
1116,specific,q20,1,7
1116,specific,q24,1,3
1116,specific,q27,1,13
1116,specific,q40,1,8
1116,specific,q39,1,4
1116,specific,q34,1,16
1116,specific,q35,1,14
1116,specific,q32,1,1
1117,baseline,q7,49,12
1117,baseline,q8,14,4
1117,baseline,q9,50,2
1117,baseline,q10,54,17
1117,baseline,q30,75,3
1117,baseline,q14,12,13
1117,baseline,q16,52,10
1117,baseline,q22,91,14
1117,baseline,q20,24,6
1117,baseline,q24,84,7
1117,baseline,q27,91,8
1117,baseline,q40,75,5
1117,baseline,q39,18,9
1117,baseline,q34,77,11
1117,baseline,q35,96,15
1117,baseline,q32,11,1
1118,generic,q7,1,13
1118,generic,q8,5,7
1118,generic,q9,10,10
1118,generic,q10,5,8
1118,generic,q30,10,2
1118,generic,q14,0,15
1118,generic,q16,5,16
1118,generic,q22,1,11
1118,generic,q20,3,14
1118,generic,q24,35,4
1118,generic,q27,1,5
1118,generic,q40,65,1
1118,generic,q39,1,6
1118,generic,q34,1,9
1118,generic,q35,20,3
1118,generic,q32,15,17
1119,specific,q7,10,9
1119,specific,q8,3,5
1119,specific,q9,25,3
1119,specific,q10,10,17
1119,specific,q30,50,4
1119,specific,q14,1,10
1119,specific,q16,1,12
1119,specific,q22,2,6
1119,specific,q20,1,11
1119,specific,q24,20,8
1119,specific,q27,90,14
1119,specific,q40,10,1
1119,specific,q39,1,2
1119,specific,q34,1,13
1119,specific,q35,50,15
1119,specific,q32,1,16
1120,generic,q7,9,16
1120,generic,q8,7,17
1120,generic,q9,14,5
1120,generic,q10,14,8
1120,generic,q30,6,4
1120,generic,q14,22,14
1120,generic,q16,50,13
