hashed_id,Submission id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
fb2cfb62383d,67cf03e73506afee485678cb,APPROVED,Not Applicable,2025-03-10T15:23:23Z,2025-03-10T15:31:52Z,2025-03-10T15:31:53Z,2025-03-10T15:31:53Z,509,CLKQ470I,231,English,33,Male,White,United States,United States,United States,English,No,Full-Time
b1dbc2426693,67cf03f5019a3a7d53e9c99f,APPROVED,Not Applicable,2025-03-10T15:23:46Z,2025-03-10T15:30:27Z,2025-03-10T15:30:30Z,2025-03-10T15:30:28Z,402,CLKQ470I,4002,English,65,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
bddf475ffb8e,67cf0405591c77fadc366fc2,APPROVED,Not Applicable,2025-03-10T15:23:54Z,2025-03-10T15:28:54Z,2025-03-10T15:28:55Z,2025-03-10T15:28:55Z,300,CLKQ470I,635,English,36,Male,White,United States,United States,United States,English,No,Part-Time
ca2329959ca8,67cf040a6c680ce825057e23,APPROVED,Not Applicable,2025-03-10T15:24:02Z,2025-03-10T15:33:11Z,2025-03-10T15:33:12Z,2025-03-10T15:33:12Z,550,CLKQ470I,918,English,60,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
7e5ab4af4364,67cf041685b1d36540acd8f8,APPROVED,Not Applicable,2025-03-10T15:24:20Z,2025-03-10T15:31:39Z,2025-03-10T15:31:41Z,2025-03-10T15:31:40Z,440,CLKQ470I,201,English,20,Female,White,United States,United States,United States,English,Yes,Part-Time
0db17c10dfc5,67cf0427ef88a8c1d4ac141a,APPROVED,Not Applicable,2025-03-10T15:24:33Z,2025-03-10T15:30:10Z,2025-03-10T15:30:10Z,2025-03-10T15:30:10Z,337,CLKQ470I,774,English,36,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
a9c628a94320,67cf042bcea742f4ed393545,APPROVED,Not Applicable,2025-03-10T15:24:33Z,2025-03-10T15:29:45Z,2025-03-10T15:29:46Z,2025-03-10T15:29:45Z,312,CLKQ470I,1122,English,26,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
88ac24b8bc3e,67cf042f7f2372acf1551f90,APPROVED,Not Applicable,2025-03-10T15:24:40Z,2025-03-10T15:30:27Z,2025-03-10T15:30:28Z,2025-03-10T15:30:28Z,348,CLKQ470I,1167,English,41,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
7632026a7a68,67cf044b670a02adacd86b74,APPROVED,Not Applicable,2025-03-10T15:25:04Z,2025-03-10T15:33:14Z,2025-03-10T15:33:18Z,2025-03-10T15:33:15Z,490,CLKQ470I,5231,English,34,Male,Other,United States,United States,United States,English,No,Full-Time
404b785a6da8,67cf045f69e0f13c12029e67,APPROVED,Not Applicable,2025-03-10T15:31:46Z,2025-03-10T15:40:36Z,2025-03-10T15:40:40Z,2025-03-10T15:40:37Z,531,CLKQ470I,19,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
e8ade1d092ca,67cf04663d97426b931ef4e6,APPROVED,Not Applicable,2025-03-10T15:26:10Z,2025-03-10T15:33:20Z,2025-03-10T15:33:21Z,2025-03-10T15:33:21Z,431,CLKQ470I,1517,English,43,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
4928fb3b3e77,67cf0469ba6a77a200895e47,APPROVED,Not Applicable,2025-03-10T15:25:39Z,2025-03-10T15:31:44Z,2025-03-10T15:31:48Z,2025-03-10T15:31:46Z,366,CLKQ470I,319,English,38,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
f3aa80d46bf5,67cf04814046d3ace6afe0a1,APPROVED,Not Applicable,2025-03-10T15:26:21Z,2025-03-10T15:32:02Z,2025-03-10T15:32:02Z,2025-03-10T15:32:02Z,341,CLKQ470I,3600,English,44,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
e73962ab7985,67cf049e718a9ae88201cbe8,APPROVED,Not Applicable,2025-03-10T15:30:23Z,2025-03-10T15:42:27Z,2025-03-10T15:42:29Z,2025-03-10T15:42:28Z,724,CLKQ470I,2679,English,69,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
2cd2e8da80de,67cf04a76fd12104d461afe6,APPROVED,Not Applicable,2025-03-10T15:26:45Z,2025-03-10T15:38:42Z,2025-03-10T15:38:43Z,2025-03-10T15:38:43Z,718,CLKQ470I,4069,English,38,Female,Black,United States,United States,United States,English,No,Full-Time
